epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,813.552,0.38369,1.13604,0.08342,0.20565,1.21753,0.9995,1,0.995,0.84739,0.9592,0.95968,0.93393,0.79252,0.55843,1.05475,0.0974,0.4267,0.87075,0.00133175,0.00133175,0.00133175
29,842.136,0.37569,1.02875,0.08539,0.20372,1.20939,0.99947,1,0.995,0.86199,0.95111,0.95161,0.92119,0.79102,0.5631,0.96574,0.10321,0.49176,0.90114,0.001307,0.001307,0.001307
30,870.968,0.36852,0.95514,0.08308,0.20119,1.20736,0.99951,1,0.995,0.86136,0.98338,0.98387,0.97677,0.78935,0.55156,0.87169,0.09615,0.41411,0.88815,0.00128225,0.00128225,0.00128225
31,899.992,0.37808,0.95259,0.08048,0.20818,1.22265,0.99947,1,0.995,0.85887,0.95915,0.95968,0.946,0.81059,0.57706,0.93004,0.10075,0.4589,0.90456,0.0012575,0.0012575,0.0012575
32,928.991,0.3733,0.87126,0.07972,0.19998,1.20925,0.99956,1,0.995,0.84738,0.99148,0.99194,0.99274,0.82688,0.61405,0.85314,0.0961,0.40427,0.96556,0.00123275,0.00123275,0.00123275
33,957.805,0.37066,0.85663,0.07999,0.20044,1.20723,0.99951,1,0.995,0.85139,0.99145,0.99194,0.98823,0.80488,0.58828,0.77471,0.09287,0.34796,0.91718,0.001208,0.001208,0.001208
34,986.249,0.37687,0.85419,0.07793,0.20428,1.21076,0.99955,1,0.995,0.84674,0.95924,0.95968,0.91649,0.72444,0.60205,0.97993,0.09305,0.33949,0.93991,0.00118325,0.00118325,0.00118325
35,1014.76,0.36789,0.88413,0.07788,0.1974,1.2079,0.99952,1,0.995,0.87007,0.95922,0.95968,0.92328,0.75789,0.56822,0.97176,0.10021,0.39395,0.87784,0.0011585,0.0011585,0.0011585
36,1043.43,0.36854,0.84929,0.07941,0.20272,1.20026,0.99964,1,0.995,0.86516,0.97544,0.97581,0.96425,0.80437,0.50914,0.88866,0.09857,0.40423,0.82033,0.00113375,0.00113375,0.00113375
37,1072.12,0.36459,0.79269,0.07851,0.19921,1.19096,0.99942,1,0.995,0.87943,0.97524,0.97581,0.95667,0.81715,0.52981,0.72734,0.09988,0.38731,0.85134,0.001109,0.001109,0.001109
38,1100.75,0.35969,0.7933,0.076,0.20115,1.19627,0.99936,1,0.995,0.85921,0.95904,0.95968,0.91649,0.75316,0.52529,0.96657,0.09955,0.42747,0.85095,0.00108425,0.00108425,0.00108425
39,1129.12,0.35786,0.75099,0.07494,0.19769,1.19628,0.99941,1,0.995,0.89438,0.96717,0.96774,0.95307,0.85443,0.51836,0.73659,0.09438,0.42045,0.83606,0.0010595,0.0010595,0.0010595
40,1157.78,0.36233,0.72118,0.07713,0.19758,1.18878,0.99949,1,0.995,0.86564,0.97531,0.97581,0.96638,0.80413,0.58379,0.84726,0.09953,0.36624,0.87884,0.00103475,0.00103475,0.00103475
41,1186.75,0.36359,0.69595,0.0746,0.2016,1.18912,0.99949,1,0.995,0.85507,0.98337,0.98387,0.97267,0.84574,0.55454,0.71539,0.09128,0.30085,0.87257,0.00101,0.00101,0.00101
42,1215.71,0.34581,0.72104,0.07855,0.19296,1.17482,0.99952,1,0.995,0.86937,0.97534,0.97581,0.95454,0.78513,0.53582,0.82179,0.10253,0.34618,0.85413,0.00098525,0.00098525,0.00098525
43,1244.13,0.34103,0.66066,0.07542,0.18661,1.17601,0.99953,1,0.995,0.89631,0.99147,0.99194,0.98952,0.83829,0.47848,0.66207,0.0992,0.33188,0.78231,0.0009605,0.0009605,0.0009605
44,1273.07,0.33964,0.61878,0.07636,0.19178,1.1684,0.99933,1,0.995,0.90421,0.99127,0.99194,0.9879,0.8581,0.48815,0.6566,0.09386,0.33944,0.79142,0.00093575,0.00093575,0.00093575
45,1301.61,0.33486,0.66975,0.07664,0.19512,1.1813,0.99962,1,0.995,0.89466,0.96736,0.96774,0.94331,0.84857,0.50374,0.68158,0.10055,0.32231,0.79777,0.000911,0.000911,0.000911
46,1329.63,0.34286,0.61956,0.07556,0.19334,1.16666,0.99954,1,0.995,0.88416,0.99148,0.99194,0.99258,0.87573,0.46451,0.64392,0.09286,0.31824,0.75015,0.00088625,0.00088625,0.00088625
47,1358.29,0.33344,0.63651,0.07492,0.18956,1.16124,0.99957,1,0.995,0.90016,0.99151,0.99194,0.99395,0.89962,0.46001,0.56902,0.09913,0.35656,0.77152,0.0008615,0.0008615,0.0008615
48,1386.94,0.32906,0.58993,0.07565,0.18299,1.16341,0.99953,1,0.995,0.90757,0.99146,0.99194,0.99323,0.89115,0.43568,0.59073,0.09669,0.29549,0.73757,0.00083675,0.00083675,0.00083675
49,1415.5,0.33061,0.60211,0.07411,0.18572,1.168,0.99951,1,0.995,0.88978,0.96727,0.96774,0.94313,0.82199,0.47514,0.82261,0.09407,0.3137,0.77466,0.000812,0.000812,0.000812
50,1443.94,0.32633,0.60897,0.07363,0.18732,1.16661,0.99957,1,0.995,0.87965,0.9915,0.99194,0.99371,0.90239,0.45292,0.55863,0.09824,0.30533,0.76052,0.00078725,0.00078725,0.00078725
51,1472.08,0.32566,0.56832,0.07507,0.18807,1.16234,0.99954,1,0.995,0.91035,0.98342,0.98387,0.97988,0.84219,0.43519,0.65065,0.09295,0.34817,0.73192,0.0007625,0.0007625,0.0007625
52,1500.45,0.33192,0.56306,0.07387,0.18722,1.16881,0.99953,1,0.995,0.87761,0.97535,0.97581,0.95141,0.87084,0.4777,0.53971,0.09465,0.36564,0.77182,0.00073775,0.00073775,0.00073775
53,1528.56,0.31766,0.5421,0.07354,0.18026,1.15666,0.99948,1,0.995,0.88985,0.99142,0.99194,0.99234,0.89256,0.46193,0.55579,0.09609,0.30295,0.75869,0.000713,0.000713,0.000713
54,1556.88,0.32936,0.50406,0.07325,0.18078,1.16736,0.99953,1,0.995,0.88365,0.99147,0.99194,0.98742,0.8881,0.45514,0.55344,0.09681,0.29819,0.73992,0.00068825,0.00068825,0.00068825
55,1585.41,0.32573,0.4956,0.07398,0.18234,1.159,0.99952,1,0.995,0.88379,0.99146,0.99194,0.99476,0.90658,0.48157,0.49349,0.0972,0.31992,0.78592,0.0006635,0.0006635,0.0006635
56,1613.44,0.31459,0.52408,0.07226,0.18078,1.15759,0.99982,1,0.995,0.91892,0.99175,0.99194,0.99282,0.91287,0.40433,0.47812,0.09492,0.31596,0.68486,0.00063875,0.00063875,0.00063875
57,1642.2,0.319,0.50186,0.07499,0.18159,1.14803,0.99951,1,0.995,0.9051,0.99951,1,0.995,0.90621,0.4106,0.50687,0.09399,0.28896,0.69077,0.000614,0.000614,0.000614
58,1670.52,0.31791,0.4507,0.07389,0.18204,1.15212,1,1,0.995,0.89235,0.99194,0.99194,0.99403,0.92112,0.44303,0.49302,0.09168,0.33819,0.72496,0.00058925,0.00058925,0.00058925
59,1698.74,0.322,0.53785,0.07503,0.1842,1.15286,0.99952,1,0.995,0.90919,0.99146,0.99194,0.99363,0.90609,0.40557,0.48223,0.09689,0.28912,0.66805,0.0005645,0.0005645,0.0005645
60,1727.13,0.30241,0.4466,0.07397,0.17895,1.13818,1,1,0.995,0.89644,1,1,0.995,0.89989,0.39911,0.49623,0.096,0.28522,0.68947,0.00053975,0.00053975,0.00053975
61,1755.69,0.30459,0.41375,0.07228,0.1805,1.14322,1,1,0.995,0.89081,1,1,0.995,0.91373,0.42385,0.45444,0.09409,0.29224,0.71715,0.000515,0.000515,0.000515
62,1784.52,0.30553,0.44282,0.07246,0.18053,1.13772,0.99954,1,0.995,0.90726,0.99148,0.99194,0.99427,0.90809,0.43695,0.47404,0.0966,0.32314,0.7482,0.00049025,0.00049025,0.00049025
63,1812.88,0.29854,0.44083,0.07176,0.1732,1.1373,0.99908,1,0.995,0.91763,0.99908,1,0.995,0.90577,0.42326,0.53173,0.09638,0.30264,0.71369,0.0004655,0.0004655,0.0004655
64,1841.3,0.30503,0.41137,0.07241,0.17557,1.13686,0.99948,1,0.995,0.91381,0.99948,1,0.995,0.92234,0.38388,0.45197,0.09438,0.28449,0.67472,0.00044075,0.00044075,0.00044075
65,1869.67,0.2949,0.40856,0.07252,0.17302,1.13252,0.99952,1,0.995,0.91494,0.99952,1,0.995,0.93913,0.40257,0.42196,0.09546,0.29547,0.68354,0.000416,0.000416,0.000416
66,1897.85,0.28975,0.39243,0.07115,0.17289,1.12146,0.99938,1,0.995,0.88629,0.99132,0.99194,0.99371,0.9172,0.40416,0.44585,0.0965,0.2962,0.69781,0.00039125,0.00039125,0.00039125
67,1926.84,0.28419,0.39089,0.071,0.17041,1.11885,0.99951,1,0.995,0.90303,0.99951,1,0.995,0.93108,0.40034,0.45765,0.09618,0.27171,0.68977,0.0003665,0.0003665,0.0003665
