epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,358.145,0.70905,0.40135,0.85523,0.58134,0.55655,0.52713,0.30719,1.02768,0.65138,0.97442,0.000307891,0.000307891,0.000307891
43,365.464,0.72699,0.40599,0.85892,0.6403,0.51555,0.55486,0.32697,1.06286,0.65573,0.98122,0.000300156,0.000300156,0.000300156
44,372.799,0.72367,0.40438,0.85691,0.55631,0.55959,0.51627,0.31872,0.99066,0.64806,0.9741,0.000292422,0.000292422,0.000292422
45,380.161,0.7094,0.39786,0.85382,0.60216,0.54724,0.55757,0.32023,1.14195,0.67103,0.98956,0.000284688,0.000284688,0.000284688
46,387.47,0.69733,0.39016,0.85122,0.61362,0.60143,0.5543,0.31803,1.09944,0.66989,0.97613,0.000276953,0.000276953,0.000276953
47,394.83,0.71021,0.3987,0.85282,0.68291,0.57078,0.56806,0.32419,0.9804,0.65842,0.97589,0.000269219,0.000269219,0.000269219
48,402.189,0.69679,0.39099,0.85599,0.66858,0.53963,0.56278,0.31084,1.07866,0.69689,0.97488,0.000261484,0.000261484,0.000261484
49,409.555,0.69724,0.39021,0.85284,0.58123,0.54787,0.5477,0.31764,1.06422,0.66839,0.9692,0.00025375,0.00025375,0.00025375
50,416.807,0.69489,0.39249,0.84889,0.55425,0.57774,0.5238,0.31096,1.05299,0.70749,0.97811,0.000246016,0.000246016,0.000246016
51,424.089,0.69027,0.3876,0.84816,0.62544,0.53723,0.5555,0.32031,1.0612,0.66203,0.96911,0.000238281,0.000238281,0.000238281
52,431.332,0.6828,0.38237,0.84961,0.63417,0.57295,0.56339,0.32633,0.97698,0.63379,0.95989,0.000230547,0.000230547,0.000230547
53,438.545,0.67228,0.37658,0.84544,0.61484,0.55804,0.53508,0.31221,1.01237,0.64426,0.96972,0.000222813,0.000222813,0.000222813
54,445.886,0.68395,0.38039,0.84432,0.64027,0.55982,0.53085,0.30419,1.01655,0.64864,0.97064,0.000215078,0.000215078,0.000215078
55,453.179,0.67422,0.37476,0.84265,0.54923,0.57018,0.49727,0.28235,1.06362,0.65473,0.97871,0.000207344,0.000207344,0.000207344
56,460.679,0.67733,0.3754,0.84275,0.52511,0.54365,0.47275,0.26997,1.05832,0.66493,0.97662,0.000199609,0.000199609,0.000199609
57,467.978,0.67049,0.37356,0.84582,0.54688,0.58352,0.48257,0.27303,1.01558,0.6544,0.97589,0.000191875,0.000191875,0.000191875
58,475.294,0.6759,0.37563,0.84523,0.57465,0.52189,0.50556,0.28147,1.06197,0.6639,0.97561,0.000184141,0.000184141,0.000184141
